,,,D=!,phi1,teta12,Xt(1),,,,,,,
t,Pre,Residuos,dpre,-0.169178526,-0.686832399,,,,,,,,
268,1833,-174.1086295,27,-78.83719319,122.271443,,,,,,,,
269,1080,386.6802017,924,-4.567820207,532.7520114,,,,,,,,
270,94,-108.6293334,66,-156.3209582,18.30837645,,,,,,,,
271,0,-98.03140863,0,-11.16578273,86.8656313,,,,,,,,
272,0,-48.76205105,-31,0,17.76205206,,,,,,,,
273,49,34.07659704,49,5.244534311,20.16793839,,,,,,,,
274,5,-64.62966312,5,-8.289747782,61.33991904,,,,,,,,
275,236,75.37807283,236,-0.845892631,159.7760449,,,,,,,,
276,732,-45.11168174,-305,-39.92613218,-299.8144694,,,,,,,,
277,1469,-631.5868789,-607,51.59945048,76.18633187,,,,,,,,
278,2785,761.4222751,152,102.6913654,-506.7309252,,,,,,,,
279,1117,-128.3615824,219,-25.71513598,321.6464562,,,,,,,,
280,827,-1162.633541,-1006,-37.05009723,119.5834476,,,,,,,,
281,1637,992.7780795,557,170.1935973,-265.5844905,,,,,,,,
282,348,85.15741775,254,-94.23243908,74.6101456,,,,,,,,
283,11,-99.30249115,11,-42.97134565,67.33114754,,,,,,,,
284,140,104.6476807,140,-1.860963788,33.49135649,,,,,,,,
285,75,25.71991653,26,-23.68499366,-23.40491089,,,,,,,,
286,206,152.2116131,201,-4.39864168,44.38974655,,,,,,,,
287,79,-139.2327828,-157,-34.00488376,-51.77210257,,,,,,,,
288,1773,1036.576864,1041,26.56102861,30.98416458,,,,,,,,
289,3408,1329.090831,1939,-176.1148457,433.794331,,,,,,,,
290,571,-2019.067682,-2214,-328.0371622,-522.9694877,,,,,,,,
291,1461,630.3983641,344,374.5612569,88.16289357,,,,,,,,
292,2329,645.2682146,1502,-58.197413,798.5343839,,,,,,,,
293,415,-794.234006,-1222,-254.1061463,-681.8721497,,,,,,,,
294,115,32.22503154,-233,206.736159,-58.4888735,,,,,,,,
295,54,14.21442937,43,39.4185966,68.20416819,,,,,,,,
296,64,-11.39926006,-76,-7.274676625,-71.87541756,,,,,,,,
297,54,9.522839739,-21,12.85756799,-17.66527197,,,,,,,,
298,433,335.0966149,227,3.55274905,-104.5438673,,,,,,,,
299,112,-101.0331099,33,-38.40352544,95.62958621,,,,,,,,
300,342,-724.6283264,-1431,-5.582891364,-711.9545738,,,,,,,,
301,2971,717.9571076,-437,242.0944709,-912.8626435,,,,,,,,
302,699,-1184.830074,128,73.93101594,1386.761099,,,,,,,,
303,844,-205.6768337,-617,-21.65485135,-432.9780206,,,,,,,,
304,3090,1308.574263,761,104.3831506,-443.1911156,,,,,,,,
305,323,-766.2505022,-92,-128.7448584,545.5056475,,,,,,,,
306,62,-15.30238007,-53,15.56442441,-22.13319571,,,,,,,,
307,0,-35.27060756,-54,8.966461887,-9.762930622,,,,,,,,
308,0,-62.69374067,-64,9.135640413,7.829381132,,,,,,,,
309,180,143.3680205,126,10.82742567,-6.54059486,,,,,,,,
310,3,-221.161284,-430,-21.3164943,-230.1552118,,,,,,,,
311,312,203.3539534,200,72.74676625,69.39281322,,,,,,,,
312,844,-29.53391325,502,-33.83570523,497.6982116,,,,,,,,
313,598,-1964.811419,-2373,-84.92762014,-493.1162024,,,,,,,,
314,1550,438.6809634,851,401.4606426,813.7796816,,,,,,,,
315,1166,36.76356171,322,-143.9709258,141.265513,,,,,,,,
316,1840,-405.7042882,-1250,-54.47548543,-898.7712001,,,,,,,,
317,143,-494.8125111,-180,211.4731577,526.2856704,,,,,,,,
318,66,23.94196431,4,30.45213471,10.51017041,,,,,,,,
319,72,47.09828997,72,-0.676714105,24.224996,,,,,,,,
320,526,470.759054,526,-12.18085388,43.06009228,,,,,,,,
321,0,-170.5181036,-180,-88.98790476,-98.46980143,,,,,,,,
322,0,-124.4486,-3,30.45213471,151.9007352,,,,,,,,
323,133,-38.82238129,-179,0.507535579,-139.6700836,,,,,,,,
324,799,-35.0018926,-45,30.28295618,20.28484848,,,,,,,,
